inbegriffen              to be included              быть включенным(в меню)
die Büchse               rifle                       винтовка
Vorbeugung von           prevention                  предотвращение чего-то
2760.unschlüssig         indecisive/hesitant         неуверенный
der Stich                stitch                      укол
akut                     acute                       внезапно появившийся/серьезный/потребующий срочного внимания
der Durchfall            diarrhea                    панос
die Sektierer            sectarians                  сектанты
steif                    stiff                       жесткий/не гнущийся
geschwollen              swollen                     опухший
der Betrag               amount                      сумма
hindeuten                indicate                    указывать на
der Pelz                 fur                         мех
tapfer                   brave                       смелый/храбрый
finster                  dark                        темный
der Leuchtturm           beacon                      маяк
verwesen                 decay                       разлогаться
das Indiz                circumstantial              -------------------------
                                                     
das Bußgeld              fine                        штраф
die Motte                moth                        мотылек
bergab gehen             go downhill                 котиться по наклонной/идти по откос
lümmeln                  lounge                      раслабленно лежать/сидеть
auftreten gegen          perform against             быть против чего-то
2780.nörgeln             complain                    жаловаться
mosern                   complain                    жаловаться[Umgangsprachlich]
bekritteln               complain                    жаловаться(без причины)
Der Zögling              student/pupil               ученик
Die Sitte                tradition/moral             традиция/мораль(что принято в обществе)
verhätscheln             pamper                      избалововать
der Zoff                 fight                       спор/конфликт
anreißen                 mark out                    размечать(на дереве например, форму)
Lagen                    layers                      слои
quellen                  swell                       напухать
das Sägeblatt            saw blade                   пила(круглая, как в играх)
Instandhaltung           maintenance                 содержание(прибора в хороших условиях)
beanspruchen             claim                       забирать/присваивать себе
der Ameisenhaufen        anthill                     муравейник
bevormunden              patronize                   относиться к кому-то как будто он неважен или глуп
der Rasen                lawn                        газон
entwenden                steal                       красть
verderben                spoil                       портить
vergreisen               to age                      стареть
trösten                  comfort/solace              утешать
schikanieren             harass                      придираться/издеваться/атаковать                 2800
Der Schlitz              slot                        дырка в форме линии(Briefkastenschlitz(куда ложить письмо))
stockend                 haltingly                   останавливаясь/неуверенно
holprig                  uneven/clumsy               неровный/плох(в презентации/в английском)
Verhöhnung               mockery                     издевательство
Flöhe                    fleas                       блохи
anhänglich               clingy                      назязчивый/приставучий
das Paddel               paddle                      весло
einfühlsam               empathetic                  сочувствующий
nachsichtig              lenient                     снисходительный(более добрый чем нужно)
die Sohle                sole                        подошва/стопа
der Samen                seed                        семя/семеня
sich fremdschämen        cringe                      испанский стыд
der Drehort              filming location            место съёмки
pilgern                  to pilgrimage               поломничать
verärgert                annoyed                     раздражен
aufwittern               to get wind of/scent        унюхать(след/скандал)
lukrativ                 lucrative                   прибыльный
Einfühlungsvemögen       sensitiveness               чувствительность
Klapperstorch            stork                       аист
2820.Vetter              cousin                      сын твоего дяди
Brombeeren               blackberries                ежевика
Stachelbeeren            gooseberries                крыжовник



Johannisbeeren           currants                    смородина
die Qualle               jellyfish                   медуза
gründlich                thorough                    тщательно
der Hobel                hook                        рубанок(хрень которой по дереву шлефуют)
schustern                mend shoes                  -----------------------------------------------------------
                         do a botch job              роботать над обувью/делать плохую/непрофессиональную роботу
der Amboss               anvil                       наковальня
veranlassen              arrange                     побуждать/давать повод
der Wels                 catfish                     сом
die Mücke                mosquito                    комары/москиты
der Schwan               swan                        лебедь
der Greis/greise         old man/old                 старик/старый
die Kröte                toad                        жаба
die Unke                 fire-bellied toad           жерлянка(жаба такая)
zuschnüren               tie up                      завязывать шнуром
die Kordel               cord                        шнур
das Beet                 flowerbed                   клумба
abscheulich              abhorrent                   вызывающий отвращение и призрение
2840.widerlich           disgusting                  отвратительный/отталкивающий
hervorrufen              to cause                    вызывать
loswerden                to get rid of               избавиться от
die Birke                birch                       береза
mitten hinein            right into                  прямо в
aufgelegt sein           to be in ... mood           быть в настроении
losprusten               to laugh out loud           смеяться до слёз
jedenfalls               anyway                      в любом случае/во всяком случае
schlürfen                slurp                       сёрбать
versauen                 mess up/fuck up             испортить/испаганить
der Teich/Tümpel         pond                        пруд(сделанный человеком/природный)
der Stiel                stick                       длинная палка(как часть метлы)
zaghaft                  timid                       неуверенный/боящийся попробовать
einen Wink geben         to give a cue               незаметно подать знак/сигнал
das Veilchen             violet                      фиалка
tummeln                  run around                  резвиться
recken                   to stretch                  потягиваться/вытягивать(руки вверх/голову из окна)
Die Reling               railing                     перила
piepen                   beep                        пищать
plätschern               ripple/trickle              вода падает в фонтане/капает из крана/плескаться в воде
2860.brüllen             roar/scream                 рычать(животные)/кричать(от боли/злости/радости/просто на концерте)
das Schwanken            fluctuation                 поднимание и опускание/подергивание/пошатывание
sauen                    to whiz/to rush             двигаться издавая громкий звук(пуля/машина/велик)
die Hängematte           hammock                     гамак
schwirren                to buzz                     жужжать
das Geweih               antle                       оленьи рога
die Einkünfte            income/earning              прибыль/зарабаток
Aufklärung               enlightenment               просветление
die Missstände           malpractices/abuses         нарушения/неудовлитворительное состояние
stolzieren               to strut                    идти выпендриваясь
die Gelehrte             scholar                     учёный
wälzen                   to roll                     котить/котитсья
verschüttete             buried                      скрытые/утеряные
das Gewölbe              vault                       свод(вид потолков где он как полусфера выглядит)
der Stier                bull                        бык
Der Molch                newt                        тритон(милая ящерка)
der Schlamm              mud                         грязь
beschämt                 ashamed                     пристыженная
grässlich                terribly                    ужасно/ужасный
die Fingerkuppe          fingertip                   кончик пальца
2880.schnauben           to snort                    фыркать
klirrten                 clink                       звенеть(стаканом об стакан например)
sich ekeln               to be disgusted             отвращаться(я отвращен его действиями)
herausplatzen            to blurt out                розболтать/говорить не подумав
gesittet                 civilized/orderly           приличный/воспитанный
zähmen                   to tame                     приручать
der Hantel               dumbbell                    гантеля
vorgefasste              -------------               ---------------------------
Meinung                  preconception               предубеждение/предположение
erwägen                  think trough                обдумывать/взвешивать
begehrte                 coveted                     желанный/востребованный
beziehen ... aus         to source ... from          добывать что-то из ...
